OTUid,BOLDid,order_name,family_name,genus_name,species_name,n
OTU1076,None,Squamata,NA,NA,NA,3
OTU1084,BOLD:AAD6798,Chiroptera,NA,NA,NA,10
OTU1153,None,Rodentia,NA,NA,NA,5
OTU1217,None,Caudata,NA,NA,NA,1
OTU134,BOLD:AAF4803,Cypriniformes,NA,NA,NA,9
OTU1355,None,Anabantiformes,NA,NA,NA,2
OTU1485,BOLD:AAB5105,Artiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,7
OTU1549,BOLD:AAD6798,Chiroptera,NA,NA,NA,51
OTU1725,BOLD:ACD0610,Anguilliformes,NA,NA,NA,1
OTU1803,None,Stomiiformes,NA,NA,NA,1
OTU1908,None,Anura,NA,NA,NA,4
OTU1918,None,Gobiiformes,NA,NA,NA,1
OTU199,None,Acanthuriformes,NA,NA,NA,4
OTU44,None,Pleuronectiformes,NA,NA,NA,28
OTU48,BOLD:AAA1564,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,7
OTU511,BOLD:AAN6149,Anura,NA,NA,NA,4
OTU66,None,Blenniiformes,NA,NA,NA,3
OTU693,None,Tetraodontiformes,NA,NA,NA,1
OTU774,None,Clupeiformes,NA,NA,NA,4
OTU86,None,Gobiiformes,NA,NA,NA,1
OTU946,BOLD:ACM8350,Clupeiformes,NA,NA,NA,1
