SampleID,BatSpecies,Site,Counts
nau.7001,PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,23
nau.7002,LABL,ESCAMECCA_GRANDE_HOT_SPRINGS,8
nau.7004,NOLE,ESCAMECCA_GRANDE_HOT_SPRINGS,9
nau.7006,PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,8
nau.7007,PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,11
nau.7009,PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,10
nau.7010,PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,2
nau.7011,PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,7
nau.7012,PTGY,ESCAMECCA_GRANDE_HOT_SPRINGS,5
nau.7013,MOPR,ESCAMECCA_GRANDE_HOT_SPRINGS,4
nau.7015,MOPR,ESCAMECCA_GRANDE_HOT_SPRINGS,1
nau.7019,RHBI,SARDINA,2
nau.7021,CAPE,SARDINA,5
nau.7023,MYNI,SARDINA,5
nau.7031,MYNI,SARDINA,1
nau.7032,TRCI,SARDINA,9
nau.7033,RHNA,SARDINA,6
nau.7034,NOAL,SARDINA,5
nau.7035,RHBI,ESCAMAQUITA,2
nau.7038,PTPA,ESCAMAQUITA,5
nau.7039,PTPA,ESCAMAQUITA,3
nau.7041,PTPA,ESCAMAQUITA,3
nau.7042,PTGY,ESCAMAQUITA,4
nau.7043,RHBI,ESCAMAQUITA,7
nau.7044,PTPA,ESCAMAQUITA,5
nau.7046,EPFUR,ESCAMAQUITA,10
nau.7048,PTPA,ESCAMAQUITA,3
nau.7049,MOSI,ESCAMAQUITA,6
nau.7050,PTPA,ESCAMAQUITA,6
nau.7052,RHBI,ESCAMAQUITA,10
nau.7053,PTGY,ESCAMAQUITA,13
nau.7054,PTPA,ESCAMAQUITA,7
nau.7055,PTPA,ESCAMAQUITA,8
nau.7056,STPA,ESCAMAQUITA,3
nau.7059,STPA,FINCA_GUADELUPE,2
nau.7073,PHST,FINCA_GUADELUPE,1
nau.7074,PHST,FINCA_GUADELUPE,1
nau.7075,PHST,FINCA_GUADELUPE,1
nau.7120,PHDI,NICARAGUA,6
nau.7121,EPFUR,NICARAGUA,13
nau.7122,EPFUR,NICARAGUA,8
nau.7124,EPBR?,NICARAGUA,17
nau.7125,EUGL,NICARAGUA,5
nau.7129,RHDU,NICARAGUA,8
nau.7130,MOPR,NICARAGUA,1
nau.7133,MOMO,NICARAGUA,1
nau.7134,MOPR,NICARAGUA,2
nau.7135,LAEG,NICARAGUA,7
nau.7136,MOPR,NICARAGUA,1
nau.7137,EUUN,NICARAGUA,3
nau.7138,CAPE,NICARAGUA,8
nau.7139,NOLE,NICARAGUA,4
nau.7140,EPFUR,NICARAGUA,5
nau.7141,EPFUR,NICARAGUA,5
nau.euma1bandersonNM,EUMA,NEW_MEXICO,9
