BatSpecies,ArthropodOrder,RelativeCounts,TotalCounts,percent_taxa
CAPE,Coleoptera,4,13,30.7692307692308
CAPE,Diptera,1,13,7.69230769230769
CAPE,Hemiptera,1,13,7.69230769230769
CAPE,Lepidoptera,7,13,53.8461538461538
EPBR?,Blattodea,1,17,5.88235294117647
EPBR?,Coleoptera,2,17,11.7647058823529
EPBR?,Diptera,5,17,29.4117647058824
EPBR?,Hemiptera,1,17,5.88235294117647
EPBR?,Lepidoptera,8,17,47.0588235294118
EPFUR,Blattodea,3,41,7.31707317073171
EPFUR,Coleoptera,19,41,46.3414634146341
EPFUR,Diptera,1,41,2.4390243902439
EPFUR,Hemiptera,3,41,7.31707317073171
EPFUR,Lepidoptera,15,41,36.5853658536585
EUGL,Lepidoptera,5,5,100
EUMA,Diptera,1,9,11.1111111111111
EUMA,Lepidoptera,8,9,88.8888888888889
EUUN,Coleoptera,1,3,33.3333333333333
EUUN,Hemiptera,2,3,66.6666666666667
LABL,Diptera,1,8,12.5
LABL,Lepidoptera,7,8,87.5
LAEG,Hemiptera,1,7,14.2857142857143
LAEG,Lepidoptera,6,7,85.7142857142857
MOMO,Hemiptera,1,1,100
MOPR,Coleoptera,1,9,11.1111111111111
MOPR,Diptera,1,9,11.1111111111111
MOPR,Hemiptera,3,9,33.3333333333333
MOPR,Isoptera,3,9,33.3333333333333
MOPR,Lepidoptera,1,9,11.1111111111111
MOSI,Coleoptera,1,6,16.6666666666667
MOSI,Lepidoptera,5,6,83.3333333333333
MYNI,Ephemeroptera,1,6,16.6666666666667
MYNI,Lepidoptera,5,6,83.3333333333333
NOAL,Coleoptera,1,5,20
NOAL,Diptera,1,5,20
NOAL,Isoptera,1,5,20
NOAL,Lepidoptera,1,5,20
NOAL,Orthoptera,1,5,20
NOLE,Coleoptera,3,13,23.0769230769231
NOLE,Hemiptera,1,13,7.69230769230769
NOLE,Lepidoptera,9,13,69.2307692307692
PHDI,Coleoptera,2,6,33.3333333333333
PHDI,Diptera,1,6,16.6666666666667
PHDI,Hemiptera,1,6,16.6666666666667
PHDI,Lepidoptera,2,6,33.3333333333333
PHST,Hymenoptera,3,3,100
PTGY,Isoptera,1,22,4.54545454545455
PTGY,Lepidoptera,21,22,95.4545454545455
PTPA,Blattodea,3,84,3.57142857142857
PTPA,Coleoptera,4,84,4.76190476190476
PTPA,Diptera,6,84,7.14285714285714
PTPA,Hemiptera,2,84,2.38095238095238
PTPA,Hymenoptera,1,84,1.19047619047619
PTPA,Isoptera,3,84,3.57142857142857
PTPA,Lepidoptera,65,84,77.3809523809524
PTPE,Diptera,3,17,17.6470588235294
PTPE,Hemiptera,1,17,5.88235294117647
PTPE,Isoptera,3,17,17.6470588235294
PTPE,Lepidoptera,10,17,58.8235294117647
RHBI,Blattodea,1,21,4.76190476190476
RHBI,Coleoptera,7,21,33.3333333333333
RHBI,Diptera,1,21,4.76190476190476
RHBI,Hymenoptera,1,21,4.76190476190476
RHBI,Lepidoptera,11,21,52.3809523809524
RHDU,Coleoptera,1,8,12.5
RHDU,Diptera,1,8,12.5
RHDU,Lepidoptera,6,8,75
RHNA,Diptera,2,6,33.3333333333333
RHNA,Hymenoptera,1,6,16.6666666666667
RHNA,Lepidoptera,3,6,50
STPA,Hemiptera,1,5,20
STPA,Lepidoptera,4,5,80
TRCI,Coleoptera,1,9,11.1111111111111
TRCI,Diptera,1,9,11.1111111111111
TRCI,Entomobryomorpha,1,9,11.1111111111111
TRCI,Hemiptera,1,9,11.1111111111111
TRCI,Lepidoptera,4,9,44.4444444444444
TRCI,Trombidiformes,1,9,11.1111111111111
