,BOLDid,n,TotalCounts
1,BOLD:AAA0716.1,1,62
2,BOLD:AAA0932.1,1,38
3,BOLD:AAA2454.10,2,568
4,BOLD:AAA3313.1,1,45
5,BOLD:AAA3993.48,2,367
6,BOLD:AAA4727.1,2,199
7,BOLD:AAA7111.2,1,262
8,BOLD:AAB0279.1,2,358
9,BOLD:AAB0282.3,2,116
10,BOLD:AAB5414.1,1,103
11,BOLD:AAB5742.1,1,62
12,BOLD:AAB7737.1,1,73
13,BOLD:AAB8726.3,1,78
14,BOLD:AAC9531.3,12,57444
15,BOLD:AAH0136.1,4,2069
16,BOLD:AAH5510.1,1,53
17,BOLD:AAI1345.2,4,557522
18,BOLD:AAI3614.3,3,267
19,BOLD:AAN5879.1,5,2305
20,BOLD:AAN5882.5,4,871
21,BOLD:AAO8154.1,1,505
22,BOLD:AAO8357.1,2,216
23,BOLD:AAR9607.1,2,251
24,BOLD:AAU6544.2,7,1679
25,BOLD:AAW0548.2,1,238
26,BOLD:AAW6052.1,3,366
27,BOLD:AAY4866.1,1,25
28,BOLD:AAY5064.1,1,127
29,BOLD:ACA9904.7,2,1238
30,BOLD:ACA9904.8,1,28
31,BOLD:ACB0302.1,1,112
32,BOLD:ACG3125.1,1,53
33,BOLD:ACG7223.1,2,107
34,BOLD:ACK5957.1,1,75
35,BOLD:ACN4193.1,1,140
36,BOLD:ACO4682.1,1,47
37,BOLD:ACO6860.1,1,40
